levels: 22
tile_id,count,percent
  0,44255,71.55
110,5660,9.15
111,4313,6.97
112,3280,5.30
113,689,1.11
114,688,1.11
116,629,1.02
115,605,0.98
  2,191,0.31
 85,140,0.23
 86,112,0.18
 93,89,0.14
 34,80,0.13
 97,77,0.12
 98,77,0.12
 30,63,0.10
 94,60,0.10
 82,52,0.08
101,48,0.08
102,48,0.08
 89,43,0.07
 62,43,0.07
 87,37,0.06
 88,37,0.06
  8,36,0.06
 83,36,0.06
 18,29,0.05
 75,28,0.05
 90,26,0.04
 63,26,0.04
 11,25,0.04
 45,24,0.04
 12,23,0.04
 92,16,0.03
 65,16,0.03
 91,16,0.03
 64,16,0.03
 67,15,0.02
 71,15,0.02
 73,14,0.02
 66,14,0.02
 69,14,0.02
 57,12,0.02
 60,12,0.02
 79,9,0.01
109,9,0.01
  7,9,0.01
 43,8,0.01
 22,7,0.01
 26,6,0.01
 49,6,0.01
108,5,0.01
 84,5,0.01
  3,4,0.01
  4,4,0.01
 56,4,0.01
 59,4,0.01
 51,4,0.01
 76,4,0.01
 44,4,0.01
 52,3,0.00
 54,3,0.00
 39,3,0.00
 15,3,0.00
 53,2,0.00
 55,2,0.00
  6,2,0.00
 61,2,0.00
 72,2,0.00
 58,2,0.00
 68,2,0.00
  5,1,0.00
