Complete Tile to Image Mapping
============================================================
Tile ID    Image Index     Source File     Type     Flags   
------------------------------------------------------------
0          0               if0[0]          0        0x00
1          0               if0[0]          0        0x00
2          0               if0[0]          1        0x00
3          1               if0[1]          1        0x00
4          53              if0[53]         1        0x01
5          54              if0[54]         1        0x02
6          55              if0[55]         1        0x03
7          2               if0[2]          1        0x00
8          56              if0[56]         1        0x01
9          3               if0[3]          1        0x00
10         4               if0[4]          1        0x00
11         3               if0[3]          3        0x00
12         5               if0[5]          1        0x00
13         6               if0[6]          1        0x00
14         7               if0[7]          1        0x00
15         6               if0[6]          3        0x00
16         8               if0[8]          1        0x00
17         9               if0[9]          1        0x00
18         8               if0[8]          3        0x00
19         10              if0[10]         1        0x00
20         11              if0[11]         1        0x00
21         12              if0[12]         1        0x00
22         10              if0[10]         3        0x00
23         13              if0[13]         1        0x00
24         14              if0[14]         1        0x00
25         15              if0[15]         1        0x00
26         13              if0[13]         3        0x00
27         16              if0[16]         1        0x00
28         17              if0[17]         1        0x00
29         18              if0[18]         1        0x00
30         16              if0[16]         3        0x00
31         19              if0[19]         1        0x00
32         20              if0[20]         1        0x00
33         21              if0[21]         1        0x00
34         19              if0[19]         3        0x00
35         22              if0[22]         1        0x00
36         23              if0[23]         1        0x00
37         24              if0[24]         1        0x00
38         25              if0[25]         1        0x00
39         23              if0[23]         3        0x00
40         26              if0[26]         1        0x00
41         27              if0[27]         1        0x00
42         28              if0[28]         1        0x00
43         26              if0[26]         3        0x00
44         57              if0[57]         3        0x08
45         60              if0[60]         3        0x03
46         29              if0[29]         1        0x00
47         30              if0[30]         1        0x00
48         31              if0[31]         1        0x00
49         29              if0[29]         3        0x00
50         63              if0[63]         3        0x08
51         66              if0[66]         3        0x03
52         32              if0[32]         1        0x00
53         69              if0[69]         1        0x03
54         33              if0[33]         1        0x00
55         70              if0[70]         1        0x03
56         34              if0[34]         1        0x00
57         71              if0[71]         1        0x03
58         72              if0[72]         1        0x02
59         35              if0[35]         1        0x00
60         73              if0[73]         1        0x03
61         74              if0[74]         1        0x02
62         36              if0[36]         1        0x00
63         75              if0[75]         1        0x04
64         76              if0[76]         1        0x01
65         77              if0[77]         1        0x03
66         37              if0[37]         1        0x00
67         78              if0[78]         1        0x03
68         79              if0[79]         1        0x02
69         38              if0[38]         1        0x00
70         80              if0[80]         1        0x01
71         81              if0[81]         1        0x03
72         82              if0[82]         1        0x02
73         39              if0[39]         1        0x00
74         83              if0[83]         1        0x01
75         84              if0[84]         1        0x03
76         85              if0[85]         1        0x02
77         40              if0[40]         1        0x00
78         41              if0[41]         1        0x00
79         40              if0[40]         3        0x00
80         42              if0[42]         1        0x00
81         43              if0[43]         1        0x00
82         42              if0[42]         3        0x00
83         86              if0[86]         3        0x08
84         88              if0[88]         3        0x08
85         44              if0[44]         1        0x00
86         90              if0[90]         1        0x04
87         91              if0[91]         1        0x01
88         92              if0[92]         1        0x03
89         45              if0[45]         1        0x00
90         93              if0[93]         1        0x04
91         94              if0[94]         1        0x01
92         95              if0[95]         1        0x03
93         46              if0[46]         1        0x00
94         96              if0[96]         1        0x01
95         47              if0[47]         1        0x00
96         97              if0[97]         1        0x01
97         48              if0[48]         1        0x00
98         98              if0[98]         1        0x04
99         49              if0[49]         1        0x00
100        99              if0[99]         1        0x04
101        100             if0[100]        1        0x03
102        101             if0[101]        1        0x05
103        102             if0[102]        1        0x03
104        103             if0[103]        1        0x05
105        50              if0[50]         1        0x00
106        51              if0[51]         1        0x00
107        52              if0[52]         1        0x00
108        40              if0[40]         3        0x00
109        88              if0[88]         3        0x08
110        104             if1[0]          1        0x00
111        105             if1[1]          1        0x00
112        106             if1[2]          1        0x00
113        107             if1[3]          1        0x00
114        108             if1[4]          1        0x01
115        109             if1[5]          1        0x02
116        110             if1[6]          1        0x03

============================================================
Summary:
Total tiles: 117
============================================================
